,Insult,Date,Comment
866,0,20120530013741Z,"""Yay, IGN! (not sarcastic) You've echoed the complaints of many forum users, including myself: that Inferno is too hard for normal people and blandly straightforward for AH junkies.\xa0\n\nBut Blizzard has indicated they plan to patch this, so I'm not too worried."""
876,1,20120502191534Z,"""Hey moron, 1) you're a disgusting human 2) Seau wasnt on those pats teams.  You're a fool."""
886,0,20120529011524Z,"""NOOOOOO!!! NOT MILTON BRADLEY!!!"""
896,1,20120320091805Z,"""You two are fucking trolls. What a sickening thought. Last time I checked Oaxaca is relatively safe, but ya'll wouldn't know that cause both of you have your heads up your ass. Btw, most of the violence is on the borderstates of Mexico. Or did you forget that, too?"""
906,0,20120619172637Z,"""And it being summer and you're wasting it away inside is so wrong."""
916,0,20120612011322Z,"""@roCkhopper\xa0Lancaster PA mah friend. Wez ghetto"""
926,0,20120610062931Z,"""some fukin sketchers thats sad omg lol fuckin shitty ass sketchers why the fuck are they even named sketchers sketcherz fuckin suck ass"""
936,1,20120618233707Z,"""He won Michigan in the primaries.  Holy shit, your dumb."""
946,0,20120610012214Z,"""yeah well director interpretation isn't always the best insight for things like this, especially with something with such a rabid fan base. On top of that i think they are condensing more than i would have liked...even if the golden age was kinda meh in comparison to the drama going on now, i would have at least liked for them to show them doing their thing on the battle field."""
956,1,,"""ima fuck me 2 white bitches. you got a sister? ima fuck her in the ass. ima fuck ya ball headed\\xc2\\xa0 sister everybody go to youtube look up the vid and look at the info section and it has all these fags address facebook and parents name and phone numbers real talk take a look..i aint no snitch but when i see shit like these goin on it gets to me..i live around there so when i see em ima fuck them upp good prolly gonna have to cut a bitch too"""
966,0,,"""Michelle Obama can suck it!! I am sick and tired of the screwed up Government telling us what we can and cannot do... especially when it comes to our kids!!! Stay the hell out of our lives!!! Save the REPUBLIC revolt against socialism!!"""
976,0,20120528043551Z,"""Damien Sandow . . . the ""Leaping"" Lanny Poffo of this era."""
986,0,20120530030259Z,"""""obviously clean"", you are in denial"""
996,1,20120610140917Z,"""Nobody gives a shit what you say"""
1006,1,20120320202740Z,"""The article was about Bush you asshole."""
1016,0,,"""I can not believe Americans are so stupid, fat and lazy. You sit around in your lay-z-boys watching football and listenening to your ipods that you don't even care that the Country your grandparents and great parents DIED to protect is eroding away because of evil liberals. I never would have even called a Representative in this case. A 'school health inspector' would have had their ass handed to them and then the school principle, too. For even HAVING such a useless position in the first place. Who has time to inspect kids' lunches and who has $$ to pay a person to do that at ANY school??? It's time for you idiots to vote out these libs and elect hardcore Conservatives across the board. Who cares who is President if you don't have a Conservative House and Senate?? """
1026,0,20120612142933Z,"""Chill no need to call them an idiot."""
1036,0,,"""\\xc2\\xa0If not for Panetta (of all people) urging Obama to give a green light on the operation, bin Laden is still walking around making video tapes and lopping the heads off Americans.\\n\\nIf you want to kiss someone's-ass over Osama, start with Leon, then move on to the SEALs who got him."""
1046,0,20120620051153Z,"""Are you sure he's even a real person?"""
1056,1,20120528013329Z,"""Got a reference for that idiotic comment?"""
1066,0,20120611184750Z,"""HENRY HAWK\n\nThe cases that you have cited are not applicable in this instance.\n\nAlso, there is no known conflict statute within any US State with granting Obama's LFBC full faith and credit\n\nNor is there a credible record of a statement by Obama that he was not born in Hawaii as you have suggested."""
1076,0,,"""I have watched the video over and over again, and with all the evidence Ballotelli did NOT delibratly stamp on parkers head, for a start parker was behind Mario when he fell, and in doing so knocked ballotelli off balance and tripped over hitting parker in the head, that's what the ref saw, the rest is history."""
1086,0,20120609205338Z,"""Looks like you have a Stormer problem!..The same team that beat the bulls TWICE...Habs and Jean were great...Morne, Spies\xa0and Hougaard was below par...Crusty the clown dont belong in this company."""
1096,0,,"""Go get them Egyptians.\\xc2\\xa0 Kill them all!\\xc2\\xa0 We will be right behind you.\\xc2\\xa0\\xc2\\xa0 hahahahehehe\\n\\n(Genesis 16:12) \\xc2\\xa0He will be a wild ass [uncivilized] of a man (Yismael and his descendants) . His hand [will be] against everyone (meaning a robber per Rashi) and everyone's hand will be against him (meaning everyone will hate him and will attack him per Rashi); and in the presence of all his brothers he will dwell (meaning: his descendants will be many per Rashi)."""
1106,1,,"""suck ya dads dick ya stupid slut, he's waiting 4 u. u probably ugly as fuck, damn i know it sucks to be you, trollin on a joke i made. fall back b4 ihurt yo feelins ho"""
1116,0,20120611200315Z,"""Thats what I thought about Herge, but turned out he was just opinionated as fuck.\n\n\nTurn the other cheek."""
1126,0,20120528182522Z,"""I love a coach that can talk naughty."""
1136,1,,"""stfu u dirty ugly wet musty hair havin rican! Dirty ass wetback! I SWEAR I CANT STAND U DIRTY UGLY PALE FACE WANNABE WHITE SPICS POSTIN RACIST BS ON WSHH WHEN U THE LEAST DISLIKED GROUP OF PPL IN AMERICA!!! IMA SPIT IN THE NEXT LIL WETBACK KIDS FACE WHEN I SEE EM BECAUSE OF U"""
1146,0,20120530014930Z,"""Providing oil companies with $4 billion to offset their costs for exploration is socialism, is it not? That little gift did not come from Obama, it came from Bush."""
1156,0,20120619235729Z,"""Yes, they are, and Ireland is the richest."""
1166,0,20120530144654Z,"""That's the difference.  They can't just make a run and think they can win against the Spur's.   They have to be able to make stops when it counts.  Young team, bright future."""
1176,0,,"""@FamousOriginalLucas@noBjustRyan Il have to pack my things and go,dont my me I have been working on my Ray Charles chops"""
1186,1,20120611025055Z,"""Well, I WAS born and raised in Africa and proud of it! Wth do you think Africans are lesser than you or something?? Take your ignorant ass somewhere else cuz I'm not the one."""
1196,0,20120530030207Z,"""Are you rooting for Nole now?"""
1206,0,20120530123140Z,"""You clearly don't know him."""
1216,0,20120610032841Z,"""People think the Yankees are scary, but nothing's as scary as the Iraq Lobster.\xa0\n\nhttp://www.youtube. com/watch?v=AiDR3ZVZso4"""
1226,0,20120619052850Z,"""courtt239 I'm a cat no shit your dog doesn't like me"""
1236,1,20120618222540Z,"""and it's idiots like you wanting soviet bloc laws as long as they don't affect you. Your both retarded, and you need to go back and read the Bill of Rights and the Constitution again."""
1246,0,20120620020717Z,"""battier sucks again!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1"""
1256,0,20120514050555Z,"""ypu do realize you just called your mom a whore..."""
1266,0,,"""Read my post- I said ""almost all money"". Of course some tomatoes etc. might come from Mexico or someplace else but the major mark up comes at the supermarkets not to mention the suppliers who buy that foreign produce dirt cheap. Just consider that all those on foreign bases go out and blow their paychecks in other countries too. Even the raw materials and energy used for our military come mainly from abroad.\\xc2\\xa0\\nFacts are facts and Defense spending creates the least jobs and stimulus per $ spent for the simple reason that more funds go abroad than any other program."""
1276,0,20120610052854Z,"""holy fuck, not on no cocky shit but come on son you know i look good"""
1286,0,20120619202135Z,"""this bring on de wrong ting for fuckin pbs"""
1296,0,20120619015101Z,"""_BeautifulFlaws okay I'm putting my throw back shirt &amp; cow girl boots on seriously I'm coming ."""
1306,1,20120612003740Z,"""You are a fool. Hispanics are hispanics are hispanic to the bone. I hear rubio saying illegals good, illegals good. illegals good, punish all anglo racists. Illegals good, illegals good, legals bad, legals bad. Anglos bad, anglos bad. Uncle Fidel good, uncle fidel good.\xa0 LaRaza good, LaRaza good, progs good, progs good, conservatives evil, conservatives evil, conservatives fools, conservatives fools. That his what I hear from your next prog idol that is going to break your heart."""
1316,1,20120619204052Z,"""More grammatical errors, Vicky<2... You are so stupid..."""
1326,0,20120530151343Z,"""He must have been flying by the old adage: ""grass on the field.....PLAY BALL!"""""
1336,0,20120527162121Z,"""anyone still thinks Rondo is not the best pg in NBA this year?"""
1346,0,20120611195256Z,"""Again, why am I bothering.\n\nI'm not just suggesting, I'M STATING AS FACT that all these incoherent hypotheses are both illogical and irrelevant.\n\nIf Travyon had been found on his back, with his arms spread wide, would that have indicated ""Tampering !""?  I have no clue what Trayvon did in his last seconds of life.  We know he was shot from between 1 and 18 inches, in the chest, which is consistent with Zimmerman's story.  Trayvon had at least a few seconds of life after he was shot, and who knows what his reaction was...  judging from how his body was found, he crawled off Zimmerman and died.  You don't have to roll someone over to check their pulse at the neck.\n\nI'm not quite able to figure out just what you're suggesting, but his position at death is irrelevant."""
1356,0,,"""\\n\\nI have read your\\ncomment and I have to point-blankly ask you for one incidence where a person\\nwas locked up for DUI that didn't blow over the legal limit or have a blood\\ntest that wasn\\xe2\\x80\\x99t over the legal limit. Just give everybody even one example.\\nBecause anybody that truly was not DUI would have a serious law suit against\\nthe Macon police department and win big. So give us just one story...or is this\\nwishful thinking on your part?\\n\\n\\n"""
1366,0,,"""Idiocy. Just say things then give no facts. Here's some facts. 3,000,000 people missing from the work force. The lowest workforce in 30 yrs at 63.2%. Median household income down 7%. Gas prices have doubled. Debt rising at a 4.2 billion dollar a day clip, and rising. 48% of Americans are below the poverty level. 46% more Americans on food stamps. Electric bills up 300 dollars a year. Average age of an American owned car 10 yrs. I can go on, and on. This POTUS is a joke. Look at his past voting records in Illinois and in the US Senate. Consistantly voting present or abstaining. He's a consumate politician. Strictly worried about covering his ass, and saving his job. Thank the stars he is alienating the Catholics. After that fiasco you can stick a fork in him, he's done. HGis IQ is on a par with the mouth breathers that voted for him. All he's got is those mean ole corporations, and class warfare. Only the uneducated will fall for that. There's a lot of them though."""
1376,0,20120609175325Z,"""fuck harry potter"""
1386,0,,"""@WetShoesClassic @Hoss   I got to a point where I started eyein' the liner notes every time I listened to a Zeppelin song to see what blues artist wrote it"""
1396,0,20120618201519Z,"""fuckkkkkkkkk wfd"""
1406,0,20120611165518Z,"""Sadly, the Catholic church has many criminal molesters, most of whom are homosexuals."""
1416,0,20120612051552Z,"""Yep people can be pretty dumb -- exemplified by your #1 argument."""
1426,0,,"""Maybe they will create a black hole that will suck in the entire facility."""
1436,0,20120620082651Z,"""fucking hell"""
1446,1,,"""\\xc2\\xa0We have more where he came from. Don't rest, we are watching your fat azz."""
1456,0,20120612134048Z,"""It looks to me like the federal government wants Florida to let illegals and non-residents vote. Those are the votes Obammy needs.\xa0 The law and truth means nothing to the federal government. All it cares about is getting a second term for Obammy."""
1466,1,20120320202250Z,"""let me rephrase:\n\nIn other words, you are an insane pussy."""
1476,0,20120610161014Z,"""every_time_o_butt_fucked_opens_his_oral,_only_shit_and_millions_of_little_sperms_come_out_..... that is when he don't_swallow.... puke....."""
1486,0,20120609225956Z,"""BasedGod didnt fuck your bitch as yet?"""
1496,1,20120612123016Z,"""Maybe you should read that\xa0first sentence you wrote\xa0again slowly. You are bending over to far to make\xa0an illogical\xa0point. We are starting to see your ignorance."""
1506,0,,"""Making fun of Catholics is not ""edgy"".\\xc2\\xa0 It\\'s childish.\\xc2\\xa0 ""Edgy"" involves risk.\\xc2\\xa0 It\\'s not like the Catholics are going to issue a Fatwa and encourage people to blow her up.\\xc2\\xa0 Want to be ""edgy"", Ms. Minaj?\\xc2\\xa0 Do the same thing to Muslims.\\xc2\\xa0 I triple dog dare you.\\n\\nMinaj is just a flash-in-the-pan who tries to ""shock"" in order to hide the fact that she\\'s not particularly talented. \\xc2\\xa0 """
1516,0,20120619145417Z,"""Pelosi is one of many, who is standing behind the most criminal, obummer. But if they stood really close together you couldn't tell them apart. They both, along with holder and all the rest of-em, are outstandingly/extremely deadly. They all look like death warmed over.But don't trust any of them. They look dead because they are dead, but they are the dead that can kill you if you aren't careful. I hope there will be some good news soon. I'm sick of this whole damn mess and more so, I'm hoping that We, The People, will have learned the lessons we're being taught on horrible government, from the horrible governmental places where the dumb are in those schools of law, all the way to the White House."""
1526,0,20120528014209Z,"""YOU GUYS REMEMBER JOHN ROCKER.... WHAT A STUD"""
1536,0,20120527211516Z,"""Fear the cow because he laughs at you"""
1546,0,,"""@Andrea Hypno I love the lion hugging video!!!"""
1556,1,20120530134453Z,"""go back to your crapping unperfection home"""
1566,0,20120529105021Z,"""How are you doing bro?\xa0Thanks for commenting and for all your help to us. God bless you loads."""
1576,0,20120528215553Z,"""We need Thames to take his spot and run with it, he does done very little to justify Snider being in the minors."""
1586,0,20120609174240Z,"""Nigga is u stalkin me u replyed to me yesterday and now again today"""
1596,1,20120320192401Z,"""With every one of your comments that I read, I realize more and more just how batshit crazy you are."""
1606,0,20120619221919Z,"""Fuck it - I'm out. I'll be on ESPN if anyone needs me."""
1616,0,20120609175647Z,"""Always better than a limp dick burrito."""
1626,0,20120620061709Z,"""Irresponsible Headline and Journalism. Sensationalism at it's best. I guess you guys will do anything to sell newspapers - even using misleading headlines.\xa0Please explain how is this a gift? It is an investment by our country."""
1636,1,20120612150528Z,"""Idiot is yr father!"""
1646,0,20120515153030Z,"""Would you also pay him for every penny JPM has earned under his watch??  Typical lib, just want to focus on a very small piece of the total picture."""
1656,0,20120619194245Z,"""@aciddragon\xa0\xa0@Rourke needs to give me a fucking like Ground corn, my bad"""
1666,1,20120618212849Z,"""I want to know why you don't have a job - is it because you were busted at work with your kiddieporn?"""
1676,0,20120610073622Z,"""Dear Aamir and Team,\nI am extremely moved with each episode of Satyamev Jayate. Hats off to you for awakening people like me who can be part of sharing the social\xa0 responsibility. I will also ask my friends to be part of your movement by seeing your programme and give back to the society in whatever possible means. I also request you to air this programme as many times as possible and also in other regional languages to reach all Indians of this country. Ending of the episode is also damn good through beautiful music. KEEP ROCKING. PEOPLE LIKE YOU ARE STILL THERE IN THE COUNTRY TO MAKE DIFFERENCE AND HOPE FOR SHINING INDIA. JAI HIND."""
1686,1,,"""Sure, it was. I asked Mr. Hawkins why we you allowed to continually call others pedophiles and he banned your ass. I can provide the email copy if you like. Don't be a pussy and deny it. """
1696,0,20120528011353Z,"""Really PAC does make it boring or put you to sleep.Manny is not going to say anything bad about whoever he fights,If you notice he leave it for roach to put the fighter down.In other words manny does his talking in the ring."""
1706,1,20120612013636Z,"""dan_amd\n\n\n\n\nYou have realy no clue on every single idiotic comment of all your posts.\nWE ALL DON'T enjoy your stupid PRO AMD B:U:L:L:S:H:I:T ignorance.\nPlease crawl back then in the fat ass of your gay loving buddy charlie\ndemerjian semiinaccurate and try to find the light inside - U stupid FAG!\n\n\n\n\nWE REALY DON'T NEED AND WANT YOUR POST HERE ANYMORE!"""
1716,1,20120320211053Z,"""As is your mother. . . . .who is the.beastiality whore.\xa0\n\nLighten up. . . . ""It's comedy!!"" \xa0Bwaaaaaaaaaaaaaaaaaahh!!"""
1726,0,20120530143005Z,"""Two friends of mine are both public school teachers and both have DUI's."""
1736,0,20120612121037Z,"""The right wing, cone headed  tea baggers cannot adjust to the fact that President Obama and the Democratic party has the ups on foreign policy and keeping us safe. What a bunch of hypocrites."""
1746,0,20120530024133Z,"""And your point is?"""
1756,1,20120618210120Z,"""you are a friggin moron. Oh you didn't get the memo? Sorry\n\nYOU ARE A FRIGGIN MORON!!!!"""
1766,0,20120619231552Z,"""Betty White said the if you have balls your weak.\xa0 A vagina makes you strong because it keeps taking a beating.\xa0 She is right you know.\xa0 We should listen to our elders"""
1776,0,20120515054654Z,"""Amanda! Wish you lived closer!! I'm sure your moms are way better ; )"""
1786,0,20120610002919Z,"""Don't forget we supplied arms and training to the Afgans torturing their soldiers.Now it has come back around."""
1796,1,20120515180626Z,"""""parents""\xa0 He was visiting his dad's fiance,\xa0 geeez dude you really are completely stupid"""
