,Insult,Date,Comment
839,0,,"""I thought that makeup was suppose to make any bitch look better, in her case that's the total opposite.\\n"""
849,1,20120609205651Z,"""I already have insurance you jack AZZ.  But If I didn't I will show up where I want to for medical care and you dumb AZZ will be paying for it just like you will be for all of those that can't and or won't afford to get insurance.  See, this is why I don't like talking to people like you, you have to use nasty language on you opposition because that's the way you deal with people that do not agree with you."""
859,0,20120612140246Z,"""And now parents are afraid AFRAID to let their kids play outside. I used to ride my bike all over Stockton (before it came the Stockton it is today) and climb tress and play cowboys and indians (where someone dramatically died every six seconds).\n\nOf course, more people went to church then and there was spanking in schools and there was just a lot more respect for the institutions that made this country great.\n\nSo sure, let's sue Hollywood, but then let's sue the liberals that made the Democratic party the moral wasteland it is today."""
869,1,20120609210255Z,"""damn, you are truly stupid"""
879,1,20120527211628Z,"""Can you post a statement\xa0 without using the word idiot?\xa0 Try being a little more eloquent with your retorts or just start pulling the wings off of flies to\xa0while the hours away......."""
889,0,,"""Muslims want to blow themselves up, let 'em.\\nI couldn't care less."""
899,1,,"""i am sick of seeing this fuck asshole bitch made chain latters o.O? gonna kill the person on ""inside"" who the asshole sick son of bitch made this crap things look at me i am grace wow i am to cool ghost\\\\nme:*claps* NOW SUCK MY DICK MOTHER FUCKING ASSHOLE i will fuck you lol"""
909,0,20120528072334Z,"""And who are you, the proud lord said, that I must bow so low?Only a cat of a different\ufeff coat,\xa0that\u2019s all the truth I know.\xa0In a coat of gold or a coat of red,\xa0a lion still has claws,\xa0And mine are long and sharp,\xa0my lord, as long and sharp as yours.\xa0And so he spoke,\xa0and so he spoke,\xa0that lord of Castamere,\xa0But now the rains weep o\u2019er his hall,\xa0with no one there to hear.\xa0Yes now the rains weep o\u2019er his hall,\xa0and not a soul to hear.\n\nEDIT\nREPLY"""
919,0,20120609231226Z,"""We were thinking back in time when a young GHWB was goaded by his ambitious young wife to eliminate JFK., \xa0it would go something like this,Babs, I can't stand that JFK, get rid of that white trash. \xa0Then a little while later Babs said I can't stand that MM she's gonna run her mouth and then, RK is finished. \xa0Now that would be a much better HBO movie...the white-washed Bush Legacy is getting tough to swallow."""
929,1,20120610121856Z,"""You married the turd, and bred with him..."""
939,0,20120515061822Z,"""Remember all the haters screaming to get rid of Blanton before the season??? Where are they now????\nNot so fat Joe is pitching his pudgy lil heart out...oh...and guess what...this team is starting to hit...another thing the haters like to dwell on...where are they now?? All you Chollie bashers ain't showing your butts now are you?? Whatsamatter? Seeing the faithful's faith in this team is well deserved by them?? Gotta luv the ""paper"" fans....gotta luv them....get the hell off of our bandwagon you wannabe so calle fans....."""
949,0,20120502191320Z,"""You're better than that, pola."""
959,1,20120611164014Z,"""It's hard to read your post and not immediately think that you're xenophobic"""
969,0,20120528185458Z,"""Fan jag som trodde det var FI. Att neka de som vill r\xf6sta att r\xf6sta \xe4r allt annat \xe4r civiliserat. Att ta ut sv\xe4ngarna \xe4r v\xe4lbeh\xf6vt annars sker inga f\xf6r\xe4ndringar."""
979,0,20120619160146Z,"""You are soo beautiful"""
989,0,,"""Define abortion in objective terms. Explain the whole process of abortions too me. Explain what you see in a sonogram of a baby with fingers, toes, fingerprints, eyes, a heartbeat and brainwaves. Explain late term abortions for me. Where they pull a baby's head out and inject it with saline and then vacuum their brains out. Pro choicers are cowards at the core. How brave of you to lay down your responsibilities for what you did at a nightclub getting drunk and having unprotected sex and then kill your living mistake. """
999,0,20120612070118Z,"""I think if you want all the trophies, you SHOULD have to play ALL the game. People work hard on that game & if you can't be bothered to play it all, then you shouldn't CARE so much about not getting a trophy for it."""
1009,1,20120620175500Z,"""Yo\xa0@LukeEmery:disqus\xa0you must be too dumb to know what ""grand jury"" means. \xa0Plus who is going to testify against him? \xa0The dead Mexican? \xa0Go shove your idiotic comments up your you know what."""
1019,0,20120611173239Z,"""They just want a portion of the road so they can carry out their hangings in familiar territory."""
1029,0,20120528195039Z,"""Whoever takes out the Heat in the playoffs will be America's Team."""
1039,0,20120612140249Z,"""Why the_fuck didn't you tell her?"""
1049,0,20120610092157Z,"""mos po lyp me ja kthy virgjinitetin edhe motres apo nones tonde, po e kan hup virgjinitetin ose e kan shit me pare, e i njejti rast osht edhe me mitrovicen , se baba jot Hashim Thadici e ka shit Mitrovicen o kungull"""
1059,0,20120620154656Z,"""I shall give you one reason. One reason. And you'll want to kill for that Robocop remake. \nJose fucking Padhila."""
1069,0,20120618201320Z,"""Hi Ally.\xa0 Glad you liked Gambler Gal.\xa0 She would be my alter-ego IF I had a bunch of moolah to spend.\xa0 Alas...this is not the case.\xa0 I like the penny slots, too, but you can sure cram a heck of a lot of money into those machines if you're not careful.\xa0\xa0 Sheesh.\nHUGS!"""
1079,0,20120610165355Z,"""So a single parent is better? Get off your fucking high horse and shut the fuck up. Can you even imagine the trauma the two girls will feel? And, the loss of the other female partner won't change the other mother from being gay, I hope you realize."""
1089,0,20120529213525Z,"""Got your back, here, r_dale. Good post. Typical of the gun nuts in Utah."""
1099,0,20120529004355Z,"""Not tonight tv844..chill with that.\nThe Brewer and Dodger fans are just enjoying the game\nwherever they are hoping that their team wins.\nSimple ain't it?"""
1109,0,,"""gloves on the baby please"""
1119,1,20120620103547Z,"""fucking idiots"""
1129,0,20120611182425Z,"""to be honest, dont you think that some fool made this fake twittwer account up ?"""
1139,1,20120618202459Z,"""By ""your kind"" I mean angry little Yankee know-it-alls,who are complete white trash in the states they came from and move here and think they know everything, because ""Southerners are slow and backwards"". You were trash up there and you are trash down here. Go home and take all of your friends with you. You are ruining our culture and quality of life. Although, you Sir wouldn't understand anything about quality of life,you are a pathetic internet troll who's entire life is sadly based around your pathetic rants on message boards. Go Home dude."""
1149,0,20120618211456Z,"""Yeah but we love a good smack down"""
1159,0,20120529202535Z,"""Easy to tell when it's the off-season. \n\nUbbs should put a crossword puzzle on the blog."""
1169,0,20120530040622Z,"""awww you go back checking your posts for likes. how sad."""
1179,0,20120530074948Z,"""Michael Jordan won his first title after seven years. LeBron is in his ninth season."""
1189,0,20120528233639Z,"""I never liked interleague play but they didn't ask me, lol."""
1199,0,20120515170815Z,"""I guess you are those who have a fetish for huge silicon boobs."""
1209,0,,"""what kills me is if you disagree with me that you are a racist."""
1219,1,20120530023731Z,"""How was that not a strike you buffoon?"""
1229,0,20120612140504Z,"""He's never looked into McKenna's spending spree. Such as the shiny new storefront\xa0offices the AG rents at exorbitant rates from buddy Putnam in Tacoma. This has nothing to do with republican/democrat. It's all about buddies having each other's back and making well for themselves - the definition of corruption and collusion."""
1239,1,20120529144224Z,"""You're certainly what Lenin called a ""useful idiot"".\xa0 If you like Islam so much, go where it is practiced ""just the way you like it"".\xa0 Get to beat your wife and will, kill your kids for whatever reason turns you on, lie to anyone about anything just because ""it furthers the cause of Islam"" and others around you ACTUALLY BELIEVE YOUR LIES."""
1249,0,20120619113201Z,"""CEO TOP is not happy of what you are doing YOUNGBAE, your nipple distracts me LOL"""
1259,0,20120612125535Z,"""Rally against Nazis, George Soros while you're at it Joyce."""
1269,1,20120610044450Z,"""eww i like BB but saying the rest of kpop isn't real music just makes you sound dumb as fuck. go back to your wonderfully lame articles and leave f(x) alone. also thanks for increasing our views count MUAHAHAHA."""
1279,0,20120612113316Z,"""Deuteronomy 21:18-21:""If a man has a stubborn and rebellious son who does not obey his father and mother and will not listen to them when they discipline him, 19 his father and mother shall take hold of him and bring him to the elders at the gate of his town. 20 They shall say to the elders, ""This son of ours is stubborn and rebellious. He will not obey us. He is a profligate and a drunkard."" 21 Then all the men of his town shall stone him to death.""\n\nMatthew 5:18 :\n""I tell you the truth, until heaven and earth disappear, not the smallest letter, not the least stroke of a pen, will by any means disappear from the Law until everything is accomplished.""\n\nYou believers are dangerous."""
1289,0,,"""""A Cardiff disciplinary panel heard Ms Scarlett, who was pictured wearing a lantern-shaped hat, ""presented herself as a very different person"" outside school"".\\n\\n \\n\\nLol. i should hope so, she is at a PRIMARY school after all."""
1299,1,20120609203234Z,"""im playing college ball what you, 5 sitting on worldstar\xa0frustrated\xa0with yo life lame im laugh fuck niggas like you everyday 5"""
1309,0,,"""People are born gay\\nTherefore gay people have the Constitutional right to marriage"""
1319,0,20120528212344Z,"""Didn't know, but then again I don't care"""
1329,0,,"""The thing that keep the world from nuclear was was the understanding that a nuclear war could not be won.\\xc2\\xa0 Even if one side was able to blow up the majority of weapons on the other side, the other side would still have enough to blow the other side up.\\xc2\\xa0 There is a point that one can reduce the number of weapons to where nuclear war can be won by one side.\\xc2\\xa0 I dont know exactly where the line is but if we cut too far, we actually could be creating a world far more dangerous than one with each side having 10000 warheads. """
1339,1,20120619014649Z,"""None of your posts have any value whatsoever."""
1349,1,20120530145806Z,"""so lets pamper the child so the child never does better. you are an idiot."""
1359,0,,"""lol Igor should be in it. He can penetrate people with his long ass nose."""
1369,0,20120515181121Z,"""the difference is and this is a big one.....you and fellow trolls live and feed off our blogs( ND's blogs ) ""sharing"" your  "" opinions"" and comments ""....with no interest in talking positively about ND football like us fans....your sole purpose is to antagonize us......if you really think about it, you and your idol, Strike First are a pretty pathetic pair ..."""
1379,0,20120620151732Z,"""Mr. Genetski receives a salary paid by the taxpayers. We are paying his legal costs. \n\nJust like YOU are paying for a teacher's night out at the bar?   Get over yourself."""
1389,0,20120529002925Z,"""You are welcome :)"""
1399,0,,"""@skywaker9 (David) back off"""
1409,0,20120618225501Z,"""...............HORSE TRAINER my AZZZZ.....TRUCE....?"""
1419,1,20120619010445Z,"""Chris, please stop commenting, because you're obviously still trying to catch your breath from your sucking off Cook. This has made you more retarded than usual."""
1429,1,20120620134334Z,"""Oh yeah. Like you would have stopped your car and assisted. You're a lying idiot."""
1439,0,20120620114153Z,"""We are crap, you said it yourself."""
1449,0,,"""In my area the scrap men and women are around everyday sometimes one in the morning and a different one in the afternoon,that includes weekends. If you leave anything on the path it goes. I left a spin dryer for my cousin to pick up on the driveway when I went to work,before he could pick it up the scrap people opened my gates and took it."""
1459,0,20120620000854Z,"""If these ignorant fcks h8te the USA then just leave......simple ....quit harassing American citizens"""
1469,0,20120610030006Z,"""Vote, Look where this loon is getting her information.  PBS Socialist Network.  roflmao!!!!!!!!!!!!!"""
1479,0,20120529224240Z,"""All group chats are now viewable by everyone."""
1489,1,20120515152927Z,""""" The Filipinos have learned to realise that it is better to be associated with America than any other superpowers. ""Oh, really ?\xa0Check your history, idiot.\xa0I'd rather we pick our own selves up, so we wouldn't be a joke to the planet.\xa0Such as this guy.\xa0And what's your basis for this delusion ? An American fuck you in the ass ?"""
1499,0,20120611174857Z,"""You are still anonymous though."""
1509,0,20120612145421Z,"""Does smoking dope harm your ability to read, or are you and Duncan20903 just chronically stupid?? Read what the guy I was responding to SAID, cretin. Honestly..."""
1519,0,,"""The only thing Murray is going to beat is his racket against the ground. Nole in 3 easy sets."""
1529,0,20120529044717Z,"""Yes so u are wrong"""
1539,0,20120529003051Z,"""Yes - Paris Hilton is smarter than everybody else in the USA.\n\nShe got very expensive jeans from her parents, and apparently that makes you very smart."""
1549,0,,"""@tjirish34 Gawd< I luv me all of them.....I live so far from you...almost a continent away.....Dayton, Ohio"""
1559,0,,"""I think they done lost their patience for this BS. I don't think they are going to wait any longer either. They will blow it up with or without the US's A-OK. Israel is right they can't wait for Iran to get more of a stockpile. They need to get rid of that or it makes it much harder for everyone else later to blow it up. Russia and China definitely aren't going to take to kindly to massive contamination heading their way if they don't do it now. The US should just be ready with cement to entomb the dam things."""
1569,0,20120620011212Z,"""GODDAMMIT GUYS YOUR TV'S ARE MUCH FURTHER INTO THE GAME THAN MY FEEDS DAMMIT"""
1579,0,20120611183333Z,"""Good. Hopefully Capcom goes out of business completely."""
1589,0,,"""Just imagine what their fanny's are like!!"""
1599,0,20120618211356Z,"""Yes, you are"""
1609,0,,"""Only a moron would see things the way you do. You get alot more ""bang for you buck"" out of the military than food stamps."""
1619,0,,"""The GOP has already lost this election because of all the focus on anti-gay and anti-abortion rhetoric.\\nThese are ugly divisive issues that cannot EVER be won.\\n\\nIf you can't beat a very unpopular president during bad economic times, who can you beat?\\n\\nTime to stop pandering to the shrinking social conservative Base and return the focus to taxes, national security, and job-creation proposals.\\n\\n"""
1629,0,20120619130610Z,"""Amazing....\n\nMountain out of a mole hill."""
1639,0,20120528194939Z,"""The things I would do to her...."""
1649,1,20120620043520Z,"""Ey bitch nigga ebos!\n if ur deymonds lil brother u betta shut yo mouth mothafucka!"""
1659,1,20120610155727Z,"""Yep, you're a darky."""
1669,0,20120527183819Z,"""Spamming the liberal troll way."""
1679,0,20120502215828Z,"""I think you are hooked now @Amy Weaver Sadler"""
1689,0,,"""How does banning gay marriage lower HIV transmission?"""
